,Country,Overall score
140,Afghanistan,2.85
78,Albania,5.89
112,Algeria,4.01
118,Angola,3.72
47,Argentina,7.02
85,Armenia,5.54
8,Australia,9.09
15,Austria,8.29
145,Azerbaijan,2.75
148,Bahrain,2.55
79,Bangladesh,5.88
149,Belarus,2.48
32,Belgium,7.64
96,Benin,5.09
90,Bhutan,5.3
103,Bolivia,4.84
101,Bosnia and Herzegovina,4.86
28,Botswana,7.81
51,Brazil,6.86
46,Bulgaria,7.03
111,Burkina Faso,4.04
153,Burundi,2.15
29,Cabo Verde,7.78
123,Cambodia,3.53
141,Cameroon,2.85
7,Canada,9.22
164,Central African Republic,1.32
162,Chad,1.61
20,Chile,8.08
152,China,2.26
44,Colombia,7.13
130,Comoros,3.15
133,Congo Brazzaville,3.11
18,Costa Rica,8.13
58,Croatia,6.57
142,Cuba,2.84
33,Cyprus,7.59
31,Czech Republic,7.69
110,Côte d’Ivoire,4.05
165,Democratic Republic of Congo,1.13
6,Denmark,9.22
143,Djibouti,2.77
59,Dominican Republic,6.54
66,Ecuador,6.33
136,Egypt,3.06
70,El Salvador,6.15
160,Equatorial Guinea,1.92
151,Eritrea,2.37
26,Estonia,7.9
124,Ethiopia,3.44
80,Fiji,5.85
4,Finland,9.25
19,France,8.12
120,Gabon,3.61
106,Gambia,4.33
88,Georgia,5.42
12,Germany,8.68
54,Ghana,6.63
38,Greece,7.43
92,Guatemala,5.26
132,Guinea,3.14
147,Guinea-Bissau,2.63
71,Guyana,6.15
104,Haiti,4.57
89,Honduras,5.42
74,Hong Kong,6.02
55,Hungary,6.63
1,Iceland,9.58
50,India,6.9
63,Indonesia,6.48
150,Iran,2.38
117,Iraq,3.74
5,Ireland,9.24
27,Israel,7.86
34,Italy,7.52
49,Jamaica,6.96
23,Japan,7.99
113,Jordan,3.93
138,Kazakhstan,2.94
93,Kenya,5.18
114,Kuwait,3.93
100,Kyrgyz Republic,4.89
154,Laos,2.14
37,Latvia,7.49
105,Lebanon,4.36
60,Lesotho,6.54
87,Liberia,5.45
155,Libya,2.02
36,Lithuania,7.5
11,Luxembourg,8.81
84,Madagascar,5.64
86,Malawi,5.5
42,Malaysia,7.16
99,Mali,4.92
25,Malta,7.95
115,Mauritania,3.92
17,Mauritius,8.22
72,Mexico,6.09
82,Moldova,5.75
61,Mongolia,6.5
83,Montenegro,5.65
95,Morocco,5.1
119,Mozambique,3.65
121,Myanmar,3.55
64,Namibia,6.43
91,Nepal,5.28
10,Netherlands,9.01
3,New Zealand,9.26
122,Nicaragua,3.55
126,Niger,3.29
108,Nigeria,4.12
166,North Korea,1.08
76,North Macedonia,5.97
0,Norway,9.87
137,Oman,3.06
107,Pakistan,4.25
116,Palestine,3.89
45,Panama,7.05
73,Papua New Guinea,6.03
69,Paraguay,6.24
57,Peru,6.6
53,Philippines,6.64
56,Poland,6.62
21,Portugal,8.03
127,Qatar,3.19
62,Romania,6.49
134,Russia,3.11
128,Rwanda,3.16
158,Saudi Arabia,1.93
81,Senegal,5.81
65,Serbia,6.41
102,Sierra Leone,4.86
75,Singapore,6.02
41,Slovakia,7.17
35,Slovenia,7.5
39,South Africa,7.24
22,South Korea,8.0
16,Spain,8.29
68,Sri Lanka,6.27
146,Sudan,2.7
48,Suriname,6.98
2,Sweden,9.39
9,Switzerland,9.03
163,Syria,1.43
30,Taiwan,7.73
159,Tajikistan,1.93
94,Tanzania,5.16
67,Thailand,6.32
40,Timor-Leste,7.19
125,Togo,3.3
43,Trinidad and Tobago,7.16
52,Tunisia,6.72
109,Turkey,4.09
161,Turkmenistan,1.72
24,USA,7.96
98,Uganda,5.02
77,Ukraine,5.9
144,United Arab Emirates,2.76
13,United Kingdom,8.52
14,Uruguay,8.38
156,Uzbekistan,2.01
139,Venezuela,2.88
135,Vietnam,3.08
157,Yemen,1.95
97,Zambia,5.09
129,Zimbabwe,3.16
131,eSwatini,3.14
